,elapsed time
Reno/Tahoe International Airport,"94,9306698"
Roanoke Regional Airport (Woodrum Field),"90,29566855"
Greater Rochester International Airport,"108,5816794"
Roswell International Air Center,"82,64944649"
Rochester International Airport,"78,92469352"
Southwest Florida International Airport,"154,88331"
Santa Fe Municipal Airport,"91,49144254"
San Diego International Airport (Lindbergh Field),"139,9304736"
San Antonio International Airport,"114,3041009"
Savannah/Hilton Head International Airport,"109,3081728"
Santa Barbara Municipal Airport (Santa Barbara Airport),"85,6697995"
South Bend International Airport (South Bend Regional),"80,22248062"
San Luis Obispo County Regional Airport (McChesney Field),"71,3692066"
Deadhorse Airport (Prudhoe Bay Airport),"56,40585774"
University Park Airport,"114,7241379"
Louisville International Airport (Standiford Field),"108,733536"
Seattle-Tacoma International Airport,"178,4316165"
San Francisco International Airport,"163,3857696"
Springfield-Branson National Airport,"96,03505933"
St. George Regional Airport,"74,02096436"
Shreveport Regional Airport,"74,39244363"
Sitka Rocky Gutierrez Airport,"42,78136201"
Norman Y. Mineta San José International Airport,"114,180004"
San Angelo Regional Airport (Mathis Field),"54,31004367"
Luis Muñoz Marín International Airport,"211,4042926"
Salt Lake City International Airport,"120,2073234"
Sacramento International Airport,"104,7978811"
Santa Maria Public Airport (Capt G. Allan Hancock Field),"63,07065217"
John Wayne Airport (Orange County Airport),"122,1381131"
Abraham Lincoln Capital Airport,"82,09456265"
Wichita Falls Municipal Airport/Sheppard AFB,"45,60982659"
Sarasota-Bradenton International Airport,"125,8050479"
St. Cloud Regional Airport,"84,79518072"
St. Louis International Airport at Lambert Field,"117,3479157"
Cyril E. King Airport,"189,9526792"
Henry E. Rohlsen Airport,"142,7279412"
Friedman Memorial Airport,"67,5477707"
Sioux Gateway Airport,"100,3563218"
Stewart International Airport,"169,7788945"
Syracuse Hancock International Airport,"112,3099861"
Tallahassee International Airport,"83,03158934"
Toledo Express Airport,"69,80149813"
Tampa International Airport,"140,5341772"
Tri-Cities Regional Airport,"66,00986193"
Trenton Mercer Airport,"144,4849785"
Tulsa International Airport,"98,42881647"
Tucson International Airport,"117,7995227"
Cherry Capital Airport,"72,20451128"
Magic Valley Regional Airport (Joslin Field),"47,27374302"
Texarkana Regional Airport (Webb Field),"51,98523985"
Tyler Pounds Regional Airport,"48,49256198"
McGhee Tyson Airport,"110,527881"
Northeast Florida Regional Airport (St. Augustine Airport),"114,8863636"
Valdez Airport,"47,025"
Valdosta Regional Airport,"61,48854962"
Destin-Fort Walton Beach Airport/Eglin AFB,"98,37530864"
Wrangell Airport,"28,01075269"
Westerly State Airport,0
Northwest Arkansas Regional Airport,"100,2506044"
Yakutat Airport,"46,16847826"
Yuma International Airport,"55,64952381"
